,category,cardatatype,target
247,Male,MUV,0
248,Female,SUV,0
249,Female,Sedan,1
250,Male,Convertible,1
251,Female,Convertible,1
252,Female,Coupe,1
253,Female,Sedan,0
254,Male,MUV,0
255,Male,Sedan,0
256,Male,Coupe,0
257,Male,MUV,1
258,Female,MUV,0
259,Male,Sedan,0
260,Male,Convertible,0
261,Female,MUV,1
262,Male,Sedan,0
263,Female,SUV,1
264,Male,Hatchback,0
265,Female,Hatchback,1
266,Female,SUV,0
267,Male,Hatchback,1
268,Female,MUV,1
269,Female,Sedan,0
270,Female,Coupe,1
271,Female,Sedan,0
272,Male,MUV,0
273,Female,SUV,0
274,Male,SUV,0
275,Male,MUV,0
276,Male,MUV,1
277,Female,Hatchback,0
278,Female,MUV,1
279,Female,SUV,1
280,Female,Sedan,0
281,Female,SUV,1
282,Male,Convertible,1
283,Female,Convertible,0
284,Female,MUV,0
285,Male,Convertible,1
286,Male,Convertible,1
287,Male,SUV,1
288,Female,SUV,0
289,Male,SUV,0
290,Female,MUV,1
291,Female,SUV,0
292,Female,MUV,0
293,Male,Sedan,0
294,Male,Coupe,1
295,Male,Convertible,1
296,Male,Convertible,0
297,Female,Convertible,0
298,Male,Convertible,0
299,Female,Sedan,1
300,Male,Coupe,0
301,Male,Hatchback,0
302,Male,SUV,1
303,Female,Sedan,0
304,Female,Sedan,1
305,Female,Coupe,0
306,Female,Sedan,1
307,Male,MUV,1
308,Male,Hatchback,0
309,Male,MUV,1
310,Male,Sedan,1
311,Male,Hatchback,1
312,Male,Sedan,1
313,Male,Convertible,1
314,Male,MUV,1
315,Male,Coupe,1
316,Male,Hatchback,1
317,Female,SUV,0
318,Male,Convertible,0
319,Male,MUV,0
320,Female,SUV,1
321,Female,Hatchback,0
322,Female,MUV,1
323,Male,Convertible,1
324,Female,Coupe,1
325,Female,Coupe,0
326,Male,Coupe,0
327,Female,Convertible,0
328,Male,SUV,0
329,Female,Hatchback,1
330,Female,Convertible,1
331,Male,SUV,0
332,Male,Sedan,1
333,Male,Hatchback,0
334,Male,SUV,1
335,Female,Coupe,1
336,Male,Coupe,0
337,Female,Hatchback,1
338,Male,Sedan,0
339,Female,SUV,1
340,Male,Coupe,0
341,Female,Coupe,0
342,Female,Convertible,1
343,Male,Hatchback,1
344,Female,Coupe,1
345,Female,Convertible,1
346,Male,SUV,0
347,Female,Convertible,1
348,Female,Convertible,0
349,Female,Convertible,0
350,Female,Coupe,1
351,Female,Hatchback,1
352,Male,Coupe,1
353,Female,Sedan,0
354,Female,MUV,0
355,Female,Coupe,1
356,Male,Convertible,1
357,Male,SUV,1
358,Female,SUV,1
359,Female,Hatchback,0
360,Female,Sedan,1
361,Male,Sedan,1
362,Male,Convertible,1
363,Male,SUV,1
364,Male,Hatchback,1
365,Male,Coupe,0
366,Female,Sedan,1
367,Male,SUV,1
368,Female,SUV,1
369,Male,SUV,1
370,Male,Convertible,0
371,Male,Coupe,1
372,Male,Convertible,0
373,Female,MUV,1
374,Female,Coupe,1
375,Male,MUV,0
376,Female,SUV,0
377,Male,SUV,0
378,Male,Sedan,0
379,Female,Hatchback,0
380,Female,Convertible,1
381,Male,Coupe,1
382,Female,Hatchback,0
383,Female,MUV,0
384,Female,MUV,1
385,Male,Coupe,0
386,Male,Coupe,0
387,Female,Coupe,0
388,Female,Hatchback,1
389,Male,MUV,0
390,Female,Convertible,0
391,Female,Convertible,1
392,Female,MUV,1
393,Male,MUV,1
394,Male,Convertible,1
395,Male,Hatchback,1
396,Male,SUV,0
397,Male,Hatchback,0
398,Male,SUV,1
399,Female,Hatchback,0
400,Female,Convertible,1
401,Female,MUV,0
402,Male,MUV,0
403,Female,Convertible,0
404,Female,Coupe,1
405,Female,Hatchback,0
406,Female,Sedan,0
407,Male,Convertible,1
408,Male,MUV,0
409,Female,MUV,0
410,Male,Convertible,1
411,Male,Hatchback,0
412,Female,SUV,1
413,Male,SUV,0
414,Female,MUV,1
415,Male,MUV,0
416,Female,MUV,1
417,Male,Coupe,1
418,Female,Sedan,1
419,Female,Hatchback,0
420,Male,Hatchback,0
421,Male,Coupe,1
422,Male,Sedan,0
423,Male,Convertible,1
424,Female,Coupe,0
425,Male,Sedan,0
426,Female,Coupe,0
427,Female,Hatchback,1
428,Male,Sedan,1
429,Male,Sedan,0
430,Female,SUV,1
431,Male,Convertible,1
432,Female,Sedan,0
433,Female,Hatchback,0
434,Male,Coupe,0
435,Male,MUV,1
436,Male,Hatchback,0
437,Female,MUV,1
438,Female,MUV,1
439,Male,Sedan,0
440,Female,MUV,0
441,Male,Coupe,1
442,Male,Coupe,0
443,Female,Hatchback,0
444,Male,MUV,1
445,Male,Coupe,1
446,Male,SUV,1
447,Female,SUV,1
448,Female,Convertible,1
449,Male,Convertible,0
450,Female,Coupe,0
451,Female,SUV,0
452,Male,Convertible,0
453,Male,SUV,0
454,Male,Convertible,0
455,Male,Coupe,1
456,Female,Coupe,1
457,Female,MUV,0
458,Female,SUV,1
459,Male,Coupe,0
460,Male,Coupe,1
461,Male,Coupe,0
462,Female,Sedan,1
463,Male,Coupe,1
464,Female,SUV,1
465,Male,Sedan,0
466,Male,MUV,0
467,Male,Coupe,0
468,Female,Convertible,0
469,Male,Coupe,0
470,Female,Hatchback,1
471,Female,SUV,0
472,Female,Coupe,0
473,Female,Sedan,0
474,Female,Hatchback,0
475,Male,Hatchback,1
476,Male,SUV,1
477,Male,MUV,0
478,Male,Coupe,1
479,Male,Coupe,0
480,Female,Hatchback,0
481,Female,Sedan,1
482,Male,Convertible,1
483,Female,Coupe,1
484,Female,Sedan,0
485,Male,Sedan,0
486,Male,Hatchback,0
487,Female,Sedan,1
488,Male,Sedan,1
489,Female,Hatchback,1
490,Female,Convertible,0
491,Female,SUV,1
492,Female,MUV,0
493,Male,Hatchback,1
494,Male,Convertible,0
495,Male,MUV,0
496,Female,Hatchback,1
497,Male,SUV,0
498,Female,Coupe,0
499,Female,SUV,1
500,Male,Sedan,1
501,Female,Coupe,0
502,Male,Hatchback,1
503,Male,Coupe,0
504,Female,Sedan,0
505,Male,Hatchback,1
506,Female,Sedan,0
507,Female,Hatchback,1
508,Male,Convertible,0
509,Female,Convertible,0
510,Female,Hatchback,0
511,Female,Hatchback,1
512,Female,Hatchback,0
513,Male,MUV,1
514,Male,SUV,0
515,Female,SUV,1
516,Male,Sedan,0
517,Female,SUV,0
518,Female,Hatchback,0
519,Female,Hatchback,0
520,Male,Coupe,0
521,Female,MUV,0
522,Male,Convertible,0
523,Male,SUV,0
524,Female,Convertible,0
525,Male,SUV,0
526,Female,Sedan,0
527,Male,SUV,0
528,Female,Coupe,1
529,Male,Sedan,0
530,Male,SUV,0
531,Female,Coupe,0
532,Male,Coupe,0
533,Female,Convertible,1
534,Male,Sedan,0
535,Female,SUV,0
536,Female,Coupe,1
537,Male,Coupe,0
538,Female,Convertible,0
539,Female,Hatchback,1
540,Female,Hatchback,1
541,Male,Hatchback,1
542,Male,Coupe,0
543,Male,MUV,1
544,Male,Coupe,0
545,Male,Coupe,0
546,Male,Sedan,1
547,Male,SUV,0
548,Female,Sedan,0
549,Female,Hatchback,0
550,Male,Convertible,1
551,Male,SUV,1
552,Male,Coupe,1
553,Female,MUV,0
554,Male,SUV,1
555,Male,Sedan,0
556,Female,Sedan,1
557,Female,Convertible,1
558,Female,SUV,0
559,Female,Convertible,0
560,Male,Sedan,1
561,Female,Sedan,1
562,Female,Sedan,1
563,Female,Hatchback,0
564,Male,SUV,0
565,Male,Hatchback,0
566,Male,Sedan,0
567,Female,Hatchback,0
568,Male,Coupe,1
569,Female,Sedan,0
570,Male,Sedan,1
571,Male,MUV,0
572,Male,Hatchback,1
573,Female,Coupe,1
574,Male,Hatchback,1
575,Female,Convertible,0
576,Male,MUV,1
577,Female,Hatchback,1
578,Male,Sedan,1
579,Male,SUV,1
580,Female,Hatchback,0
581,Male,Hatchback,1
582,Female,SUV,0
583,Female,Convertible,0
584,Male,MUV,0
585,Female,SUV,1
586,Female,Sedan,1
587,Male,Coupe,0
588,Male,SUV,0
589,Male,SUV,1
590,Female,Convertible,1
591,Male,MUV,1
592,Male,Coupe,1
593,Male,MUV,1
594,Female,Coupe,0
595,Female,MUV,0
596,Female,Coupe,0
597,Male,Coupe,0
598,Male,Convertible,0
599,Male,Sedan,0
600,Female,MUV,1
601,Female,SUV,1
602,Female,Sedan,0
603,Female,Coupe,0
604,Female,Convertible,0
605,Male,Convertible,0
606,Male,Hatchback,0
607,Male,Coupe,1
608,Male,Sedan,1
609,Male,Hatchback,1
610,Female,Coupe,1
611,Male,MUV,0
612,Female,MUV,1
613,Female,Hatchback,0
614,Female,Sedan,1
615,Female,Hatchback,1
616,Female,Convertible,1
617,Female,Coupe,1
618,Female,Hatchback,1
619,Male,Coupe,1
620,Female,Sedan,1
621,Male,MUV,1
622,Male,Convertible,0
623,Male,MUV,0
624,Female,Sedan,0
625,Male,MUV,1
626,Female,SUV,0
627,Female,Convertible,1
628,Male,Hatchback,0
629,Female,MUV,0
630,Male,Hatchback,1
631,Male,Sedan,0
632,Male,MUV,0
633,Female,MUV,1
634,Male,Coupe,1
635,Female,MUV,0
636,Female,Convertible,0
637,Male,Hatchback,1
638,Male,Sedan,0
639,Male,SUV,1
640,Male,SUV,0
641,Female,Convertible,0
642,Male,Convertible,1
643,Female,SUV,1
644,Male,Coupe,0
645,Male,SUV,0
646,Female,Hatchback,1
647,Male,Sedan,0
648,Male,MUV,0
649,Female,Convertible,0
650,Female,Sedan,1
651,Male,SUV,0
652,Female,Convertible,0
653,Male,Convertible,0
654,Female,Sedan,0
655,Female,MUV,1
656,Male,Coupe,1
657,Male,Hatchback,1
658,Female,Convertible,1
659,Female,SUV,0
660,Male,SUV,1
661,Female,Convertible,1
662,Female,Sedan,1
663,Male,Convertible,0
664,Female,Hatchback,1
665,Male,SUV,1
666,Female,Convertible,0
667,Female,Sedan,1
668,Male,MUV,1
669,Female,Hatchback,0
670,Male,Sedan,0
671,Female,Sedan,1
672,Female,Coupe,0
673,Male,Sedan,0
674,Male,Hatchback,0
675,Female,Hatchback,0
676,Female,Sedan,1
677,Female,Convertible,0
678,Female,SUV,0
679,Male,Coupe,1
680,Male,MUV,1
681,Female,Coupe,0
682,Female,Hatchback,0
683,Male,SUV,0
684,Male,MUV,1
685,Male,SUV,0
686,Female,SUV,0
687,Male,Coupe,0
688,Female,Convertible,0
689,Male,MUV,0
690,Female,MUV,0
691,Male,Sedan,0
692,Male,Convertible,0
693,Female,Coupe,0
694,Female,MUV,1
695,Male,Hatchback,1
696,Female,Coupe,0
697,Female,SUV,0
698,Male,Coupe,0
699,Female,Coupe,1
700,Male,Convertible,1
701,Female,Convertible,1
702,Female,Coupe,0
703,Female,MUV,0
704,Male,Coupe,0
705,Female,SUV,0
706,Male,MUV,1
707,Male,Sedan,0
708,Female,Hatchback,1
709,Female,Coupe,0
710,Male,SUV,1
711,Male,Hatchback,1
712,Male,SUV,1
713,Male,Sedan,1
714,Male,SUV,0
715,Male,Coupe,1
716,Female,Hatchback,1
717,Female,Convertible,0
718,Male,Coupe,1
719,Female,Sedan,1
720,Female,Sedan,0
721,Male,Coupe,1
722,Female,MUV,1
723,Male,MUV,0
724,Male,Hatchback,1
725,Female,Convertible,0
726,Male,Sedan,0
727,Female,SUV,1
728,Female,Convertible,1
729,Female,SUV,0
730,Female,SUV,0
731,Male,Hatchback,1
732,Female,Sedan,1
733,Female,Sedan,1
734,Male,Coupe,1
735,Female,MUV,0
736,Female,Coupe,1
737,Female,SUV,1
738,Male,Sedan,0
739,Male,Convertible,1
740,Male,Sedan,0
741,Female,MUV,0
742,Male,Convertible,0
743,Female,Convertible,1
744,Female,Coupe,1
745,Female,Hatchback,1
746,Female,Hatchback,0
747,Male,MUV,0
748,Male,SUV,0
749,Female,SUV,0
750,Male,Hatchback,1
751,Female,SUV,0
752,Male,Sedan,1
753,Male,Hatchback,0
754,Male,SUV,0
755,Female,MUV,1
756,Male,Convertible,1
757,Female,SUV,0
758,Female,Convertible,1
759,Male,MUV,1
760,Female,Sedan,0
761,Male,Sedan,0
762,Male,MUV,1
763,Male,Hatchback,0
764,Male,Convertible,0
765,Male,Coupe,0
766,Male,Coupe,1
767,Female,Sedan,1
768,Male,Convertible,0
769,Female,Coupe,0
770,Female,Convertible,1
771,Male,Coupe,0
772,Male,Coupe,0
773,Female,Sedan,1
774,Female,Coupe,0
775,Female,MUV,0
776,Female,Coupe,0
777,Female,Hatchback,0
778,Male,Coupe,1
779,Male,Convertible,0
780,Male,Coupe,1
781,Male,Coupe,1
782,Male,Convertible,1
783,Female,Sedan,0
784,Male,Sedan,0
785,Female,Coupe,1
786,Female,Convertible,0
787,Female,Sedan,1
788,Female,Hatchback,0
789,Male,Hatchback,1
790,Female,Convertible,1
791,Female,Hatchback,1
792,Female,Coupe,0
793,Male,Hatchback,0
794,Female,SUV,0
795,Female,SUV,0
796,Female,Coupe,0
797,Male,Convertible,0
798,Male,MUV,1
799,Male,MUV,1
800,Female,Coupe,0
801,Male,Hatchback,0
802,Male,SUV,1
803,Female,Convertible,1
804,Male,Sedan,0
805,Female,Coupe,0
806,Female,MUV,0
807,Male,Coupe,1
808,Male,Hatchback,1
809,Male,SUV,1
810,Male,Hatchback,0
811,Male,Convertible,1
812,Female,Sedan,1
813,Male,MUV,0
814,Female,Sedan,1
815,Male,MUV,0
816,Female,SUV,0
817,Female,SUV,1
818,Female,Convertible,1
819,Female,Coupe,0
820,Male,SUV,1
821,Female,Convertible,0
822,Female,MUV,1
823,Male,MUV,1
824,Male,SUV,0
825,Male,Hatchback,0
826,Female,Hatchback,0
827,Female,MUV,0
828,Female,Sedan,1
829,Female,Convertible,1
830,Male,Convertible,0
831,Female,SUV,1
832,Male,MUV,1
833,Male,MUV,0
834,Female,Coupe,1
835,Female,Coupe,0
836,Male,MUV,1
837,Male,Hatchback,1
838,Female,MUV,1
839,Female,SUV,0
840,Male,Convertible,0
841,Male,Hatchback,0
842,Male,SUV,0
843,Male,Convertible,0
844,Female,SUV,0
845,Male,Hatchback,0
846,Male,Convertible,1
847,Male,Coupe,0
848,Male,Hatchback,1
849,Female,MUV,1
850,Female,SUV,0
851,Female,MUV,0
852,Female,Convertible,1
853,Male,Sedan,1
854,Female,Convertible,1
855,Male,SUV,0
856,Female,Sedan,0
857,Female,Convertible,0
858,Female,Sedan,0
859,Female,Coupe,0
860,Male,Convertible,0
861,Female,Sedan,0
862,Female,Sedan,0
863,Male,Coupe,1
864,Male,SUV,1
865,Female,Convertible,0
866,Female,MUV,0
867,Female,Hatchback,0
868,Male,MUV,0
869,Male,Hatchback,1
870,Male,Hatchback,1
871,Male,Sedan,0
872,Female,Hatchback,0
873,Female,Coupe,0
874,Female,Coupe,1
875,Female,Sedan,1
876,Male,SUV,0
877,Female,Sedan,0
878,Female,Convertible,1
879,Female,MUV,0
880,Male,Hatchback,1
881,Female,Hatchback,0
882,Female,SUV,1
883,Female,MUV,1
884,Female,Hatchback,0
885,Male,MUV,0
886,Female,Hatchback,1
887,Male,MUV,0
888,Male,Convertible,1
889,Male,Sedan,1
890,Female,MUV,0
891,Female,Coupe,1
892,Male,Coupe,0
893,Female,Coupe,0
894,Male,SUV,0
895,Female,SUV,1
896,Male,MUV,1
897,Male,Hatchback,1
898,Female,Sedan,0
899,Male,Coupe,1
900,Male,MUV,0
901,Female,Coupe,1
902,Female,MUV,0
903,Female,Coupe,1
904,Female,Sedan,1
905,Male,MUV,0
906,Male,Convertible,0
907,Male,Sedan,0
908,Male,Convertible,1
909,Male,Coupe,0
910,Female,Coupe,1
911,Male,Hatchback,0
912,Female,Convertible,1
913,Female,MUV,1
914,Female,Sedan,1
915,Female,Sedan,1
916,Female,Hatchback,0
917,Female,Convertible,1
918,Female,SUV,1
919,Female,Sedan,0
920,Female,SUV,0
921,Male,Hatchback,1
922,Male,Coupe,1
923,Female,Hatchback,1
924,Male,Coupe,1
925,Male,SUV,1
926,Male,Coupe,1
927,Male,MUV,0
928,Male,Coupe,0
929,Female,SUV,0
930,Male,MUV,1
931,Male,Hatchback,0
932,Female,MUV,0
933,Male,Hatchback,1
934,Male,Convertible,0
935,Female,SUV,0
936,Male,Convertible,1
937,Male,MUV,1
938,Male,Sedan,0
939,Female,Coupe,1
940,Male,SUV,0
941,Male,Sedan,0
942,Female,Hatchback,1
943,Male,Hatchback,0
944,Female,Convertible,1
945,Male,MUV,0
946,Female,MUV,1
947,Female,Coupe,1
948,Male,Convertible,1
949,Female,SUV,0
950,Male,SUV,0
951,Male,Coupe,0
952,Male,SUV,0
953,Female,Sedan,1
954,Female,MUV,1
955,Female,Sedan,0
956,Female,MUV,0
957,Male,SUV,1
958,Male,Hatchback,0
959,Male,Coupe,1
960,Female,SUV,1
961,Male,Hatchback,0
962,Female,Hatchback,1
963,Female,SUV,1
964,Male,Sedan,1
965,Female,Coupe,1
966,Female,Coupe,0
967,Female,SUV,1
968,Male,SUV,0
969,Male,Coupe,1
970,Female,MUV,0
971,Female,Hatchback,0
972,Male,Sedan,0
973,Male,Coupe,1
974,Female,Sedan,1
975,Male,Sedan,1
976,Male,Hatchback,0
977,Male,SUV,1
978,Male,Coupe,1
979,Male,Coupe,0
980,Male,Coupe,0
981,Male,Coupe,1
982,Female,Sedan,0
983,Male,Coupe,0
984,Female,MUV,0
985,Female,MUV,0
986,Male,Sedan,0
987,Male,Convertible,1
988,Male,MUV,0
989,Male,Hatchback,1
990,Female,Convertible,0
991,Male,SUV,0
992,Female,MUV,0
993,Male,SUV,0
994,Male,MUV,1
995,Male,MUV,1
996,Female,Sedan,0
997,Male,SUV,0
998,Male,Sedan,0
999,Male,Coupe,1
1000,Male,SUV,0
1001,Female,Hatchback,0
1002,Male,Sedan,0
1003,Male,Coupe,0
1004,Female,SUV,1
1005,Female,MUV,0
1006,Male,Convertible,1
1007,Female,SUV,0
1008,Male,SUV,1
1009,Female,Coupe,0
1010,Male,SUV,0
1011,Male,Sedan,0
1012,Male,Hatchback,1
1013,Male,SUV,0
1014,Female,Hatchback,1
1015,Male,Hatchback,0
1016,Female,Sedan,0
1017,Female,Coupe,0
1018,Female,Convertible,1
1019,Female,Convertible,0
1020,Female,SUV,1
1021,Female,MUV,1
1022,Female,Hatchback,1
1023,Male,MUV,0
1024,Female,MUV,1
1025,Female,Coupe,0
1026,Male,Sedan,0
1027,Male,Sedan,1
1028,Male,Coupe,1
1029,Female,Sedan,1
1030,Female,Coupe,0
1031,Female,Hatchback,1
1032,Male,MUV,1
1033,Female,Hatchback,0
1034,Female,Coupe,0
1035,Female,Coupe,1
1036,Female,Convertible,1
1037,Female,Hatchback,0
1038,Female,SUV,1
1039,Male,Hatchback,1
1040,Female,Hatchback,0
1041,Female,SUV,1
1042,Female,SUV,0
1043,Female,Hatchback,1
1044,Female,Convertible,0
1045,Female,Hatchback,0
1046,Male,SUV,0
1047,Male,MUV,1
1048,Female,Coupe,0
1049,Male,SUV,1
1050,Male,Convertible,0
1051,Male,Hatchback,1
1052,Female,Hatchback,1
1053,Male,Coupe,0
1054,Female,Convertible,1
1055,Female,Coupe,1
1056,Female,Hatchback,0
1057,Male,Hatchback,0
1058,Female,Hatchback,1
1059,Female,Coupe,0
1060,Male,SUV,1
1061,Female,MUV,1
1062,Female,Convertible,1
1063,Female,Sedan,0
1064,Male,Coupe,0
1065,Female,SUV,1
1066,Female,MUV,0
1067,Female,Coupe,1
1068,Male,Hatchback,1
1069,Female,Sedan,1
1070,Male,Hatchback,0
1071,Female,Convertible,1
1072,Female,Convertible,1
1073,Male,Coupe,1
1074,Female,Sedan,1
1075,Female,Convertible,0
1076,Female,Hatchback,1
1077,Female,MUV,1
1078,Female,Convertible,0
1079,Female,Hatchback,1
1080,Female,Coupe,1
1081,Male,Convertible,0
1082,Male,Coupe,1
1083,Male,Coupe,1
1084,Male,Hatchback,0
1085,Female,Sedan,1
1086,Male,Hatchback,1
1087,Female,SUV,1
1088,Male,Sedan,0
1089,Male,Convertible,0
1090,Female,MUV,1
1091,Male,Sedan,0
1092,Female,SUV,0
1093,Male,Sedan,0
1094,Female,Sedan,0
1095,Female,Coupe,0
1096,Male,Coupe,0
1097,Male,Coupe,1
1098,Female,Convertible,0
1099,Male,Convertible,0
1100,Female,Hatchback,0
1101,Male,Hatchback,1
1102,Female,Coupe,0
1103,Female,MUV,0
1104,Female,Coupe,0
1105,Male,Coupe,0
1106,Male,Hatchback,1
1107,Female,SUV,0
1108,Female,SUV,0
1109,Male,Coupe,0
1110,Female,SUV,0
1111,Female,Sedan,0
1112,Male,Coupe,1
1113,Female,Convertible,0
1114,Male,MUV,0
1115,Male,Coupe,1
1116,Male,SUV,0
1117,Male,MUV,1
1118,Male,Convertible,0
1119,Male,Convertible,0
1120,Female,MUV,1
1121,Female,Hatchback,0
1122,Male,Coupe,1
1123,Female,SUV,1
1124,Male,Hatchback,0
1125,Female,Coupe,1
1126,Female,Convertible,1
1127,Male,SUV,1
1128,Male,Convertible,0
1129,Male,Coupe,0
1130,Female,MUV,1
1131,Female,Hatchback,0
1132,Male,MUV,1
1133,Female,Coupe,0
1134,Male,MUV,0
1135,Male,SUV,0
1136,Female,Sedan,1
1137,Male,MUV,0
1138,Male,Sedan,0
1139,Female,MUV,0
1140,Male,SUV,0
1141,Male,Coupe,0
1142,Female,MUV,0
1143,Male,MUV,0
1144,Male,Sedan,1
1145,Male,Sedan,1
1146,Female,Sedan,0
1147,Female,SUV,1
1148,Male,MUV,1
1149,Female,SUV,0
1150,Female,Convertible,0
1151,Male,Hatchback,1
1152,Male,Coupe,1
1153,Male,Hatchback,0
1154,Male,Coupe,0
1155,Male,MUV,0
1156,Male,Hatchback,1
1157,Female,Hatchback,0
1158,Female,Convertible,1
1159,Male,Coupe,0
1160,Female,Hatchback,0
1161,Male,Sedan,0
1162,Female,MUV,1
1163,Male,Hatchback,1
1164,Male,Hatchback,1
1165,Male,Hatchback,0
