,category,target
205,Female,1
206,Female,0
207,Male,1
208,Female,1
209,Male,0
210,Male,1
211,Female,0
212,Male,1
213,Female,0
214,Female,1
215,Male,1
216,Female,1
217,Male,0
218,Female,0
219,Female,1
220,Female,0
221,Male,1
222,Male,1
223,Male,0
224,Male,0
225,Male,0
226,Male,0
227,Male,0
228,Male,1
229,Male,0
230,Female,0
231,Male,0
232,Female,0
233,Male,0
234,Female,0
235,Female,1
236,Female,1
237,Male,1
238,Male,0
239,Female,1
240,Male,1
241,Male,1
242,Male,0
243,Female,0
244,Female,1
245,Female,1
246,Male,0
247,Male,0
248,Female,1
249,Male,1
250,Male,1
251,Female,0
252,Female,0
253,Female,0
254,Male,0
255,Male,0
256,Male,1
257,Male,0
258,Female,1
259,Female,0
260,Female,0
261,Female,1
262,Female,1
263,Female,1
264,Female,1
265,Female,1
266,Male,1
267,Male,1
268,Male,1
269,Female,1
270,Female,1
271,Female,0
272,Female,0
273,Male,1
274,Male,1
275,Male,1
276,Male,1
277,Male,1
278,Female,0
279,Male,1
280,Male,1
281,Female,1
282,Male,0
283,Female,0
284,Female,1
285,Male,1
286,Male,0
287,Male,1
288,Male,1
289,Male,1
290,Male,1
291,Female,0
292,Male,1
293,Male,1
294,Male,1
295,Male,1
296,Female,1
297,Male,0
298,Female,1
299,Male,1
300,Female,0
301,Male,0
302,Male,0
303,Male,1
304,Male,1
305,Male,0
306,Female,0
307,Male,0
308,Female,1
309,Male,0
310,Male,1
311,Female,1
312,Female,1
313,Male,1
314,Female,1
315,Female,1
316,Female,1
317,Male,1
318,Male,1
319,Female,1
320,Female,1
321,Male,0
322,Male,0
323,Male,1
324,Female,1
325,Female,1
326,Female,0
327,Female,1
328,Female,0
329,Female,0
330,Female,1
331,Male,1
332,Female,0
333,Male,0
334,Female,1
335,Male,0
336,Female,1
337,Male,1
338,Female,1
339,Male,1
340,Female,0
341,Female,0
342,Male,1
343,Male,0
344,Male,1
345,Male,1
346,Female,1
347,Female,1
348,Female,1
349,Male,0
350,Female,1
351,Female,0
352,Male,0
353,Male,1
354,Male,1
355,Male,1
356,Male,1
357,Female,0
358,Female,1
359,Male,1
360,Male,1
361,Female,0
362,Male,0
363,Female,1
364,Female,1
365,Male,0
366,Male,1
367,Female,0
368,Female,1
369,Female,1
370,Male,0
371,Male,1
372,Male,1
373,Female,1
374,Male,1
375,Male,1
376,Male,0
377,Male,0
378,Female,0
379,Female,1
380,Male,1
381,Female,0
382,Male,0
383,Female,1
384,Male,1
385,Female,0
386,Male,0
387,Male,0
388,Female,0
389,Female,1
390,Male,0
391,Female,0
392,Male,0
393,Female,1
394,Male,1
395,Male,1
396,Male,1
397,Male,1
398,Male,1
399,Female,1
400,Male,1
401,Female,1
402,Male,0
403,Female,1
404,Male,1
405,Male,1
406,Male,1
407,Female,0
408,Female,1
409,Female,0
410,Female,1
411,Male,1
412,Female,1
413,Male,1
414,Male,0
415,Male,1
416,Female,0
417,Male,0
418,Female,1
419,Female,1
420,Male,1
421,Male,0
422,Male,0
423,Male,1
424,Female,1
425,Male,1
426,Female,1
427,Female,0
428,Male,0
429,Female,1
430,Female,1
431,Female,0
432,Female,0
433,Male,0
434,Female,1
435,Male,0
436,Male,1
437,Male,0
438,Female,1
439,Male,0
440,Female,1
441,Male,1
442,Female,0
443,Male,1
444,Female,1
445,Male,1
446,Female,0
447,Female,0
448,Female,1
449,Male,0
450,Female,0
451,Male,0
452,Female,1
453,Female,1
454,Male,0
455,Female,1
456,Female,1
457,Female,0
458,Female,0
459,Female,0
460,Male,1
461,Female,1
462,Male,1
463,Female,1
464,Male,0
465,Male,1
466,Male,1
467,Male,1
468,Female,1
469,Female,1
470,Female,1
471,Female,1
472,Female,1
473,Male,1
474,Female,1
475,Female,0
476,Female,0
477,Male,1
478,Female,0
479,Female,0
480,Female,0
481,Female,0
482,Male,1
483,Male,1
484,Male,0
485,Female,1
486,Male,1
487,Female,1
488,Male,1
489,Male,1
490,Female,1
491,Male,0
492,Male,1
493,Female,1
494,Female,1
495,Male,1
496,Female,1
497,Male,0
498,Female,1
499,Male,0
500,Male,0
501,Female,0
502,Female,1
503,Female,1
504,Female,0
505,Male,1
506,Female,1
507,Female,0
508,Female,0
509,Male,1
510,Female,1
511,Male,1
512,Male,0
513,Male,1
514,Female,1
515,Male,0
516,Female,0
517,Male,0
518,Male,1
519,Male,0
520,Male,1
521,Male,1
522,Male,0
523,Male,0
524,Male,0
525,Male,0
526,Male,0
527,Male,0
528,Female,1
529,Female,1
530,Male,1
531,Female,0
532,Female,0
533,Female,0
534,Male,0
535,Male,1
536,Male,0
537,Male,1
538,Female,0
539,Male,1
540,Male,1
541,Male,1
542,Male,1
543,Male,0
544,Female,1
545,Female,1
546,Male,1
547,Male,0
548,Male,1
549,Female,1
550,Female,0
551,Female,1
552,Female,0
553,Male,1
554,Male,0
555,Female,1
556,Female,1
557,Female,1
558,Female,0
559,Male,1
560,Male,0
561,Female,0
562,Male,1
563,Male,1
564,Female,0
565,Male,0
566,Female,1
567,Female,0
568,Male,1
569,Male,0
570,Male,0
571,Male,1
572,Female,1
573,Male,0
574,Male,1
575,Female,0
576,Male,0
577,Female,0
578,Female,1
579,Female,0
580,Female,0
581,Female,1
582,Female,0
583,Female,1
584,Female,0
585,Male,1
586,Female,1
587,Female,0
588,Female,1
589,Female,1
590,Female,0
591,Male,1
592,Female,0
593,Male,0
594,Female,1
595,Male,0
596,Female,1
597,Male,1
598,Male,1
599,Male,1
600,Male,1
601,Male,0
602,Female,1
603,Female,1
604,Male,0
605,Male,0
606,Female,1
607,Female,0
608,Female,0
609,Male,1
610,Female,1
611,Male,1
612,Male,1
613,Male,0
614,Male,1
615,Female,0
616,Female,1
617,Male,0
618,Male,1
619,Female,0
620,Male,0
621,Male,1
622,Female,1
623,Male,1
624,Male,0
625,Male,1
626,Male,0
627,Female,1
628,Female,0
629,Female,0
630,Female,1
631,Male,1
632,Female,1
633,Male,0
634,Male,0
635,Female,1
636,Female,0
637,Female,1
638,Female,0
639,Female,0
640,Female,1
641,Male,1
642,Male,1
643,Female,0
644,Male,1
645,Female,1
646,Male,0
647,Male,0
648,Female,1
649,Male,0
650,Male,1
651,Male,1
652,Male,0
653,Female,0
654,Male,1
655,Male,0
656,Male,1
657,Male,1
658,Male,0
659,Female,0
660,Female,1
661,Female,0
662,Female,0
663,Female,0
664,Female,1
665,Female,1
666,Male,0
667,Male,1
668,Male,0
669,Female,1
670,Female,1
671,Male,0
672,Female,1
673,Female,1
674,Female,0
675,Female,0
676,Female,0
677,Male,0
678,Male,1
679,Female,0
680,Male,0
681,Male,0
682,Male,1
683,Male,1
684,Male,0
685,Female,0
686,Female,0
687,Male,1
688,Female,0
689,Female,1
690,Male,0
691,Female,1
692,Male,1
693,Male,0
694,Female,0
695,Female,1
696,Female,0
697,Male,1
698,Male,0
699,Male,0
700,Male,0
701,Male,1
702,Female,0
703,Female,0
704,Female,0
705,Male,1
706,Male,0
707,Male,0
708,Male,0
709,Female,1
710,Female,1
711,Female,0
712,Female,0
713,Male,0
714,Female,1
715,Female,0
716,Male,0
717,Female,1
718,Male,1
719,Male,0
720,Female,1
721,Female,1
722,Female,0
723,Male,1
724,Female,1
725,Female,1
726,Female,0
727,Male,1
728,Female,1
729,Male,1
730,Female,1
731,Male,1
732,Female,1
733,Female,0
734,Male,1
735,Female,0
736,Male,1
737,Male,0
738,Male,0
739,Female,0
740,Female,1
741,Male,1
742,Male,0
743,Female,0
744,Female,1
745,Male,1
746,Female,0
747,Female,0
748,Female,1
749,Female,1
750,Male,1
751,Female,0
752,Female,1
753,Male,0
754,Male,1
755,Female,1
756,Male,1
757,Male,0
758,Female,1
759,Male,1
760,Female,0
761,Male,1
762,Male,1
763,Female,1
764,Female,1
765,Female,1
766,Male,1
767,Male,1
768,Male,0
769,Male,0
770,Male,0
771,Female,1
772,Male,1
773,Female,0
774,Male,0
775,Female,1
776,Female,1
777,Male,0
778,Male,0
779,Female,1
780,Male,1
781,Female,1
782,Female,1
783,Female,0
784,Female,0
785,Female,1
786,Male,0
787,Male,0
788,Male,0
789,Male,1
790,Male,0
791,Male,1
792,Female,1
793,Male,0
794,Male,0
795,Male,1
796,Male,0
797,Male,0
798,Female,0
799,Female,0
800,Female,0
801,Female,0
802,Male,1
803,Male,1
804,Male,0
805,Male,1
806,Male,0
807,Female,0
808,Male,0
809,Male,0
810,Female,0
811,Female,1
812,Female,1
813,Female,0
814,Male,1
815,Female,0
816,Male,1
817,Female,0
818,Male,1
819,Female,0
820,Male,0
821,Male,0
822,Female,0
823,Female,1
824,Female,1
825,Female,0
826,Male,1
827,Female,1
828,Female,0
829,Female,1
830,Male,1
831,Female,1
832,Female,1
833,Male,1
834,Female,1
835,Male,1
836,Female,1
837,Male,0
838,Male,0
839,Male,0
840,Female,1
841,Male,0
842,Male,0
843,Female,1
844,Male,0
845,Female,0
846,Female,1
847,Female,0
848,Male,0
849,Male,1
850,Male,1
851,Female,1
852,Male,1
853,Male,1
854,Female,0
855,Male,1
856,Male,1
857,Female,1
858,Female,1
859,Male,0
860,Female,0
861,Male,0
862,Female,1
863,Female,1
864,Male,1
865,Female,0
866,Female,1
867,Female,1
868,Female,0
869,Male,0
870,Male,1
871,Female,0
872,Male,0
873,Female,0
874,Male,0
875,Female,0
876,Male,0
877,Female,1
878,Female,1
879,Male,0
880,Male,1
881,Female,0
882,Female,1
883,Male,1
884,Male,1
885,Female,1
886,Female,0
887,Male,1
888,Female,0
889,Female,1
890,Male,1
891,Female,1
892,Female,1
893,Female,1
894,Female,0
895,Female,0
896,Female,0
897,Female,1
898,Female,1
899,Male,0
900,Female,1
901,Female,1
902,Female,1
903,Male,0
904,Male,1
905,Female,1
906,Female,0
907,Male,1
908,Male,1
909,Male,1
910,Male,0
911,Male,0
912,Female,0
913,Male,0
914,Male,0
915,Female,0
916,Male,1
917,Male,0
918,Female,0
919,Female,0
920,Male,0
921,Male,0
922,Male,1
923,Female,0
924,Female,0
925,Male,0
926,Male,1
927,Female,1
928,Female,0
929,Female,0
930,Female,0
931,Male,0
932,Male,1
933,Male,0
934,Female,1
935,Male,1
936,Male,1
937,Female,1
938,Male,1
939,Male,1
940,Female,1
941,Female,1
942,Male,1
943,Female,1
944,Female,1
945,Male,0
946,Female,0
947,Male,1
948,Female,1
949,Female,1
950,Male,1
951,Female,1
952,Female,0
953,Male,1
954,Male,0
955,Female,1
956,Male,1
957,Male,0
958,Female,0
959,Female,0
960,Female,1
961,Male,1
962,Male,1
963,Male,1
964,Male,1
965,Male,0
966,Female,1
967,Female,1
968,Female,0
969,Female,0
970,Male,0
971,Female,0
972,Male,0
973,Male,0
974,Male,1
975,Female,1
976,Female,0
977,Male,1
978,Female,0
979,Male,0
980,Female,0
981,Female,0
982,Male,0
983,Female,1
984,Female,0
985,Female,0
986,Female,0
987,Female,0
988,Male,0
989,Female,1
990,Female,0
991,Female,1
992,Female,0
993,Female,1
994,Male,0
995,Male,0
996,Female,0
997,Female,1
998,Male,1
999,Male,1
1000,Male,1
1001,Female,0
1002,Male,0
1003,Female,0
1004,Male,0
1005,Male,1
1006,Female,0
1007,Male,0
1008,Female,0
1009,Male,1
1010,Female,0
1011,Female,0
1012,Male,0
1013,Female,1
1014,Female,0
1015,Female,1
1016,Female,1
1017,Male,0
1018,Male,1
1019,Male,1
1020,Male,1
1021,Female,1
1022,Female,1
1023,Male,1
1024,Male,0
1025,Male,0
1026,Male,1
1027,Female,0
1028,Male,0
1029,Female,0
1030,Female,0
1031,Male,1
1032,Male,0
1033,Male,1
1034,Male,1
1035,Male,1
1036,Female,1
1037,Female,0
1038,Male,0
1039,Male,0
1040,Female,1
1041,Female,1
1042,Female,1
1043,Female,0
1044,Male,0
1045,Male,0
1046,Female,1
1047,Male,0
1048,Male,0
1049,Female,1
1050,Male,0
1051,Male,1
1052,Male,0
1053,Female,1
1054,Female,0
1055,Male,1
1056,Male,0
1057,Female,0
1058,Female,1
1059,Female,0
1060,Female,1
1061,Female,0
1062,Male,0
1063,Female,0
1064,Female,1
1065,Male,0
1066,Male,0
1067,Female,1
1068,Male,1
1069,Female,1
1070,Female,1
1071,Female,0
1072,Male,0
1073,Male,0
1074,Male,1
1075,Male,1
1076,Male,1
1077,Female,0
1078,Male,0
1079,Female,1
1080,Female,1
1081,Female,1
1082,Male,0
1083,Female,1
1084,Male,1
1085,Female,0
1086,Female,1
1087,Female,1
1088,Female,0
1089,Female,1
1090,Female,0
1091,Male,0
1092,Female,0
1093,Male,1
1094,Female,0
1095,Male,0
1096,Male,0
1097,Male,1
1098,Male,0
1099,Male,1
1100,Female,0
1101,Male,1
1102,Female,0
1103,Male,1
1104,Female,1
1105,Male,0
1106,Male,1
1107,Male,0
1108,Female,0
1109,Female,1
1110,Female,1
1111,Female,0
1112,Male,0
1113,Female,1
1114,Male,0
1115,Male,0
1116,Female,0
1117,Male,0
1118,Male,0
1119,Male,1
1120,Male,1
1121,Female,1
1122,Female,0
1123,Female,0
1124,Male,0
1125,Male,0
1126,Female,1
1127,Male,1
1128,Female,1
1129,Female,1
1130,Male,1
1131,Male,0
1132,Female,1
1133,Female,1
1134,Female,1
1135,Female,0
1136,Female,0
1137,Female,1
1138,Female,1
1139,Female,1
1140,Male,0
1141,Female,1
1142,Male,1
1143,Male,1
1144,Male,0
1145,Male,1
1146,Male,0
1147,Female,1
1148,Female,0
1149,Female,0
1150,Male,0
1151,Male,0
1152,Male,1
1153,Male,0
1154,Female,1
1155,Male,1
1156,Male,0
1157,Female,1
1158,Male,0
1159,Female,0
1160,Female,1
1161,Female,1
1162,Male,0
1163,Female,1
1164,Male,0
1165,Female,0
1166,Female,1
1167,Male,0
1168,Female,0
1169,Male,0
1170,Female,0
1171,Male,1
1172,Female,0
1173,Female,1
1174,Male,1
1175,Male,1
1176,Male,0
1177,Female,0
1178,Female,0
1179,Male,0
1180,Male,0
1181,Male,0
1182,Male,0
1183,Male,0
1184,Female,0
1185,Male,1
1186,Female,0
1187,Female,1
1188,Male,1
1189,Male,1
1190,Female,1
1191,Male,0
1192,Female,0
1193,Female,0
1194,Female,1
1195,Male,0
1196,Male,0
1197,Female,1
1198,Female,1
1199,Female,0
1200,Female,1
1201,Male,0
1202,Male,1
1203,Male,0
1204,Male,1
1205,Female,0
1206,Male,0
1207,Male,0
1208,Female,1
1209,Female,0
1210,Male,1
1211,Male,1
1212,Female,0
1213,Male,0
1214,Female,1
1215,Female,1
1216,Female,1
1217,Female,0
1218,Female,1
1219,Female,0
1220,Female,1
1221,Female,1
1222,Male,1
1223,Male,1
1224,Female,1
1225,Female,0
1226,Male,0
1227,Female,1
1228,Male,1
1229,Female,1
1230,Male,0
1231,Male,0
1232,Female,1
1233,Male,0
1234,Male,1
1235,Female,1
1236,Male,0
1237,Male,1
1238,Female,0
1239,Male,0
1240,Male,1
1241,Male,0
1242,Female,0
1243,Female,0
1244,Female,1
1245,Female,1
1246,Female,1
1247,Female,1
1248,Male,0
1249,Male,0
1250,Female,1
1251,Male,0
1252,Female,0
1253,Female,0
1254,Male,0
1255,Female,1
1256,Female,0
1257,Female,0
1258,Female,1
1259,Female,1
1260,Female,0
1261,Female,1
1262,Female,0
1263,Female,1
1264,Female,1
1265,Male,1
1266,Male,0
1267,Female,0
1268,Male,1
1269,Female,0
1270,Female,1
1271,Female,1
1272,Male,0
1273,Male,0
1274,Female,0
1275,Male,1
1276,Female,0
1277,Male,1
1278,Male,0
1279,Female,1
1280,Female,1
1281,Male,1
1282,Male,1
1283,Female,0
1284,Female,1
1285,Male,1
1286,Male,0
1287,Female,1
1288,Female,0
1289,Male,0
1290,Male,1
1291,Male,0
1292,Female,1
1293,Male,0
1294,Female,1
1295,Male,0
1296,Male,1
1297,Female,0
1298,Male,1
1299,Male,1
1300,Female,1
1301,Female,1
1302,Female,1
1303,Male,1
1304,Female,1
1305,Female,1
1306,Male,0
1307,Male,0
1308,Male,0
1309,Female,0
1310,Male,1
1311,Female,1
1312,Female,1
1313,Male,0
1314,Female,0
1315,Male,0
1316,Female,0
1317,Male,0
1318,Male,0
1319,Male,0
1320,Male,0
1321,Female,0
1322,Female,1
1323,Female,1
1324,Male,0
1325,Male,0
1326,Female,1
1327,Female,1
1328,Female,1
1329,Male,1
1330,Female,0
1331,Male,0
1332,Male,0
1333,Male,1
1334,Male,0
1335,Male,1
1336,Male,1
1337,Female,1
1338,Female,0
1339,Female,0
1340,Female,0
1341,Male,1
1342,Male,1
1343,Male,1
1344,Female,0
1345,Male,1
1346,Male,0
1347,Male,1
1348,Male,0
1349,Female,0
1350,Female,0
1351,Male,0
1352,Female,0
1353,Female,0
1354,Male,0
1355,Male,1
1356,Male,1
1357,Female,1
1358,Male,0
1359,Female,1
1360,Male,1
1361,Female,0
1362,Female,0
1363,Female,0
1364,Male,0
1365,Female,1
1366,Male,1
1367,Male,1
1368,Male,1
1369,Male,0
1370,Male,1
1371,Male,0
1372,Female,0
1373,Female,1
1374,Male,0
1375,Male,1
1376,Female,1
1377,Male,1
1378,Female,1
1379,Female,1
1380,Female,0
1381,Female,0
1382,Female,1
1383,Female,1
1384,Male,0
1385,Male,1
1386,Male,1
1387,Male,1
1388,Female,1
1389,Male,1
1390,Male,0
1391,Male,0
1392,Male,1
1393,Female,0
1394,Male,1
1395,Female,0
1396,Female,0
1397,Female,1
1398,Female,0
1399,Female,1
1400,Female,1
1401,Female,1
1402,Male,0
1403,Male,1
1404,Female,0
1405,Male,1
1406,Male,0
1407,Male,1
1408,Female,0
1409,Female,1
1410,Female,0
1411,Female,1
1412,Female,1
1413,Male,0
1414,Female,0
1415,Female,1
1416,Female,0
1417,Female,1
1418,Female,1
1419,Male,1
1420,Female,1
1421,Male,1
1422,Male,0
1423,Female,0
1424,Male,0
1425,Male,1
1426,Female,1
1427,Female,0
1428,Male,0
1429,Male,1
1430,Female,0
1431,Female,0
1432,Female,1
1433,Male,0
1434,Female,1
1435,Female,0
1436,Female,0
1437,Male,1
1438,Male,1
1439,Female,1
1440,Male,1
1441,Female,1
1442,Female,0
1443,Female,0
1444,Female,1
1445,Female,1
1446,Female,1
1447,Female,1
1448,Female,0
1449,Male,0
1450,Female,0
1451,Male,0
1452,Male,1
1453,Female,0
1454,Male,0
1455,Female,0
1456,Female,1
1457,Male,0
1458,Male,1
1459,Male,0
1460,Female,0
1461,Female,1
1462,Male,0
1463,Female,0
1464,Male,1
1465,Male,0
1466,Male,1
1467,Female,1
1468,Male,1
1469,Female,1
1470,Male,0
1471,Male,0
1472,Male,1
1473,Male,1
1474,Female,0
1475,Female,1
1476,Male,0
1477,Female,0
1478,Female,0
1479,Male,0
1480,Female,0
1481,Female,1
1482,Male,0
1483,Male,1
1484,Male,1
1485,Female,0
1486,Male,1
1487,Female,0
1488,Male,0
1489,Male,1
1490,Male,1
1491,Female,1
1492,Male,0
1493,Male,1
1494,Female,1
1495,Male,1
1496,Female,1
1497,Male,1
1498,Female,1
1499,Male,0
1500,Female,1
1501,Male,0
1502,Female,0
1503,Male,1
1504,Male,0
1505,Female,1
1506,Female,0
1507,Female,1
1508,Female,0
1509,Male,1
1510,Female,0
1511,Male,0
1512,Female,1
1513,Female,0
1514,Female,0
1515,Male,1
1516,Female,0
1517,Female,1
1518,Male,0
1519,Male,1
1520,Female,1
1521,Female,0
1522,Female,1
1523,Female,0
1524,Male,0
1525,Male,0
1526,Male,1
1527,Male,1
1528,Male,1
1529,Male,1
1530,Male,0
1531,Female,0
1532,Female,0
1533,Female,1
1534,Female,0
1535,Female,0
1536,Female,1
1537,Male,1
1538,Female,1
1539,Female,1
1540,Female,1
1541,Female,0
1542,Female,0
1543,Male,0
1544,Male,1
1545,Male,0
1546,Female,0
1547,Female,1
1548,Female,1
1549,Male,0
1550,Female,0
1551,Male,1
1552,Female,0
1553,Male,1
1554,Male,1
1555,Male,1
1556,Female,1
1557,Male,0
1558,Male,1
1559,Male,1
1560,Female,1
1561,Female,0
1562,Female,1
1563,Male,0
1564,Male,0
1565,Male,1
1566,Female,1
1567,Female,1
1568,Female,1
1569,Female,1
1570,Male,1
1571,Male,1
1572,Female,1
1573,Male,0
1574,Female,0
1575,Male,1
1576,Male,1
1577,Male,0
1578,Male,1
1579,Male,1
1580,Female,0
1581,Female,0
1582,Male,0
1583,Female,1
1584,Female,1
1585,Female,0
1586,Female,1
1587,Female,1
1588,Male,0
1589,Female,0
1590,Female,1
1591,Female,1
1592,Female,0
1593,Female,0
1594,Male,1
1595,Male,1
1596,Male,1
1597,Female,0
1598,Female,0
1599,Male,1
1600,Male,1
1601,Female,0
1602,Male,1
1603,Male,0
1604,Male,0
1605,Male,1
1606,Female,0
1607,Male,0
1608,Male,1
1609,Female,0
1610,Male,0
1611,Male,0
1612,Female,0
1613,Female,0
1614,Female,0
1615,Male,0
1616,Female,0
1617,Male,0
1618,Male,1
1619,Male,1
1620,Male,1
1621,Male,1
1622,Female,1
1623,Female,1
1624,Male,0
1625,Female,1
1626,Male,0
1627,Female,1
1628,Female,1
1629,Male,0
1630,Female,0
1631,Female,1
1632,Male,1
1633,Female,1
1634,Female,1
1635,Male,1
1636,Male,0
1637,Female,1
1638,Male,0
1639,Female,0
1640,Female,1
1641,Female,0
1642,Female,1
1643,Female,1
1644,Female,0
1645,Male,1
1646,Female,0
1647,Female,0
1648,Female,0
1649,Female,1
1650,Female,0
1651,Male,1
1652,Male,1
1653,Male,1
1654,Male,0
1655,Male,1
1656,Female,1
1657,Male,1
1658,Male,0
1659,Female,0
1660,Male,0
1661,Female,1
1662,Female,1
1663,Male,1
1664,Male,1
1665,Female,0
1666,Male,1
1667,Female,1
1668,Female,1
1669,Male,0
1670,Female,1
1671,Male,1
1672,Female,1
1673,Female,1
1674,Female,1
1675,Male,1
1676,Male,1
1677,Male,1
1678,Male,1
1679,Male,0
1680,Male,1
1681,Male,1
1682,Female,1
1683,Female,0
1684,Male,1
1685,Male,0
1686,Male,1
1687,Male,1
1688,Male,0
1689,Female,1
1690,Female,1
1691,Male,0
1692,Female,1
1693,Male,1
1694,Male,1
1695,Female,1
1696,Female,1
1697,Female,0
1698,Male,1
1699,Female,0
1700,Male,0
1701,Female,0
1702,Male,0
1703,Male,0
1704,Female,1
1705,Female,1
1706,Female,0
1707,Female,0
1708,Male,0
1709,Male,0
1710,Male,1
1711,Male,1
1712,Female,1
1713,Male,0
1714,Female,0
1715,Male,1
1716,Female,1
1717,Male,0
1718,Male,1
1719,Male,0
1720,Female,0
1721,Male,1
1722,Female,0
1723,Male,1
1724,Male,1
1725,Male,1
1726,Male,0
1727,Male,0
1728,Female,0
1729,Female,0
1730,Male,1
1731,Male,1
1732,Female,0
1733,Female,0
1734,Male,1
1735,Male,0
1736,Female,0
1737,Male,0
1738,Male,0
1739,Male,1
1740,Male,1
1741,Male,0
1742,Male,0
1743,Female,1
1744,Female,1
1745,Female,1
1746,Female,1
1747,Male,0
1748,Male,1
1749,Male,0
1750,Male,1
1751,Female,0
1752,Male,0
1753,Male,0
1754,Male,0
1755,Male,0
1756,Male,1
1757,Male,0
1758,Female,0
1759,Male,0
1760,Female,1
1761,Female,0
1762,Female,0
1763,Female,1
1764,Female,0
1765,Female,0
1766,Male,1
1767,Female,0
1768,Female,0
1769,Male,0
1770,Male,1
1771,Female,1
1772,Male,0
1773,Male,0
1774,Female,0
1775,Male,1
1776,Male,0
1777,Female,0
1778,Male,0
1779,Female,1
1780,Male,0
1781,Female,1
1782,Female,1
1783,Female,1
1784,Female,1
1785,Male,1
1786,Male,1
1787,Female,1
1788,Male,1
1789,Male,1
1790,Female,1
1791,Male,1
1792,Female,0
1793,Male,0
1794,Male,1
1795,Female,0
1796,Male,0
1797,Male,1
1798,Female,0
1799,Female,0
1800,Male,1
1801,Female,0
1802,Female,0
1803,Male,1
1804,Male,0
1805,Male,1
1806,Male,1
1807,Female,0
1808,Male,0
1809,Male,1
1810,Male,1
1811,Male,1
1812,Male,0
1813,Male,0
1814,Female,0
1815,Female,1
1816,Male,0
1817,Female,1
1818,Female,1
1819,Male,0
1820,Female,0
1821,Female,0
1822,Male,0
1823,Female,0
1824,Female,0
1825,Male,1
1826,Male,0
1827,Female,0
1828,Female,0
1829,Female,1
1830,Male,1
1831,Female,0
1832,Male,1
1833,Male,0
1834,Male,1
1835,Female,0
1836,Female,1
1837,Male,1
1838,Female,1
1839,Female,1
1840,Female,0
1841,Male,1
1842,Male,0
1843,Male,1
1844,Male,0
1845,Male,0
1846,Female,0
1847,Female,0
1848,Female,0
1849,Female,1
1850,Female,0
1851,Male,1
1852,Female,1
1853,Male,1
1854,Male,1
1855,Female,0
1856,Male,0
1857,Female,0
1858,Female,0
1859,Female,1
1860,Male,1
1861,Female,0
1862,Male,1
1863,Male,0
1864,Female,1
1865,Female,0
1866,Female,0
1867,Male,0
1868,Male,0
1869,Female,1
1870,Female,0
1871,Male,0
1872,Male,1
